Timestamp,Keypress,State,Color
15:45:52:645,0,System Shut Down,Black
15:45:52:647,0,System Shut Down,Black
15:45:52:648,0,System Shut Down,Black
15:45:52:648,0,System Shut Down,Black
15:45:52:649,0,System Shut Down,Black
15:45:52:651,0,System Shut Down,Black
15:45:52:652,0,System Shut Down,Black
15:45:52:653,0,System Shut Down,Black
15:45:52:653,0,System Shut Down,Black
15:45:52:656,0,System Shut Down,Black
15:45:52:657,0,System Shut Down,Black
15:45:52:657,0,System Shut Down,Black
15:45:52:658,0,System Shut Down,Black
15:45:52:661,0,System Shut Down,Black
15:45:52:661,0,System Shut Down,Black
15:45:52:662,0,System Shut Down,Black
15:45:52:662,0,System Shut Down,Black
15:45:52:665,0,System Shut Down,Black
15:45:52:666,0,System Shut Down,Black
15:45:52:666,0,System Shut Down,Black
15:45:52:667,0,System Shut Down,Black
15:45:52:673,0,System Shut Down,Black
15:45:52:673,0,System Shut Down,Black
15:45:52:674,0,System Shut Down,Black
15:45:52:674,0,System Shut Down,Black
15:45:52:677,0,System Shut Down,Black
15:45:52:678,0,System Shut Down,Black
15:45:52:679,0,System Shut Down,Black
15:45:52:679,0,System Shut Down,Black
15:45:52:682,0,System Shut Down,Black
15:45:52:683,0,System Shut Down,Black
15:45:52:683,0,System Shut Down,Black
15:45:52:684,0,System Shut Down,Black
15:45:52:687,0,System Shut Down,Black
15:45:52:687,0,System Shut Down,Black
15:45:52:688,0,System Shut Down,Black
15:45:52:689,0,System Shut Down,Black
15:45:52:691,0,System Shut Down,Black
15:45:52:692,0,System Shut Down,Black
15:45:52:693,0,System Shut Down,Black
15:45:52:693,0,System Shut Down,Black
15:45:52:696,0,System Shut Down,Black
15:45:52:697,0,System Shut Down,Black
15:45:52:697,0,System Shut Down,Black
15:45:52:698,0,System Shut Down,Black
15:45:52:700,0,System Shut Down,Black
15:45:52:701,0,System Shut Down,Black
15:45:52:702,0,System Shut Down,Black
15:45:52:702,0,System Shut Down,Black
15:45:52:705,0,System Shut Down,Black
15:45:52:706,0,System Shut Down,Black
15:45:52:706,0,System Shut Down,Black
15:45:52:707,0,System Shut Down,Black
15:45:52:710,0,System Shut Down,Black
15:45:52:711,0,System Shut Down,Black
15:45:52:711,0,System Shut Down,Black
15:45:52:712,0,System Shut Down,Black
15:45:52:714,0,System Shut Down,Black
15:45:52:715,0,System Shut Down,Black
15:45:52:716,0,System Shut Down,Black
15:45:52:716,0,System Shut Down,Black
15:45:52:719,0,System Shut Down,Black
15:45:52:719,0,System Shut Down,Black
15:45:52:720,0,System Shut Down,Black
15:45:52:720,0,System Shut Down,Black
15:45:52:723,0,System Shut Down,Black
15:45:52:724,0,System Shut Down,Black
15:45:52:724,0,System Shut Down,Black
15:45:52:725,0,System Shut Down,Black
15:45:52:728,0,System Shut Down,Black
15:45:52:729,0,System Shut Down,Black
15:45:52:729,0,System Shut Down,Black
15:45:52:730,0,System Shut Down,Black
15:45:52:732,0,System Shut Down,Black
15:45:52:733,0,System Shut Down,Black
15:45:52:734,0,System Shut Down,Black
15:45:52:734,0,System Shut Down,Black
15:45:52:737,0,System Shut Down,Black
15:45:52:737,0,System Shut Down,Black
15:45:52:738,0,System Shut Down,Black
15:45:52:738,0,System Shut Down,Black
15:45:52:741,0,System Shut Down,Black
15:45:52:742,0,System Shut Down,Black
15:45:52:742,0,System Shut Down,Black
15:45:52:743,0,System Shut Down,Black
15:45:52:746,0,System Shut Down,Black
15:45:52:747,0,System Shut Down,Black
15:45:52:747,0,System Shut Down,Black
15:45:52:748,0,System Shut Down,Black
15:45:52:751,0,System Shut Down,Black
15:45:52:752,0,System Shut Down,Black
15:45:52:753,0,System Shut Down,Black
15:45:52:753,0,System Shut Down,Black
15:45:52:756,0,System Shut Down,Black
15:45:52:757,0,System Shut Down,Black
15:45:52:757,0,System Shut Down,Black
15:45:52:758,0,System Shut Down,Black
15:45:52:761,0,System Shut Down,Black
15:45:52:762,0,System Shut Down,Black
15:45:52:762,0,System Shut Down,Black
15:45:52:763,0,System Shut Down,Black
15:45:52:765,0,System Shut Down,Black
15:45:52:766,0,System Shut Down,Black
15:45:52:766,0,System Shut Down,Black
15:45:52:767,0,System Shut Down,Black
15:45:52:770,0,System Shut Down,Black
15:45:52:770,0,System Shut Down,Black
15:45:52:771,0,System Shut Down,Black
15:45:52:771,0,System Shut Down,Black
15:45:52:774,0,System Shut Down,Black
15:45:52:775,0,System Shut Down,Black
15:45:52:776,0,System Shut Down,Black
15:45:52:776,0,System Shut Down,Black
15:45:52:779,0,System Shut Down,Black
15:45:52:780,0,System Shut Down,Black
15:45:52:781,0,System Shut Down,Black
15:45:52:781,0,System Shut Down,Black
15:45:52:784,0,System Shut Down,Black
15:45:52:784,0,System Shut Down,Black
15:45:52:785,0,System Shut Down,Black
15:45:52:785,0,System Shut Down,Black
15:45:52:788,0,System Shut Down,Black
15:45:52:789,0,System Shut Down,Black
15:45:52:789,0,System Shut Down,Black
15:45:52:790,0,System Shut Down,Black
15:45:52:792,0,System Shut Down,Black
15:45:52:793,0,System Shut Down,Black
15:45:52:794,0,System Shut Down,Black
15:45:52:795,0,System Shut Down,Black
15:45:52:797,0,System Shut Down,Black
15:45:52:798,0,System Shut Down,Black
15:45:52:798,0,System Shut Down,Black
15:45:52:799,0,System Shut Down,Black
15:45:52:801,0,System Shut Down,Black
15:45:52:801,0,System Shut Down,Black
15:45:52:802,0,System Shut Down,Black
15:45:52:802,0,System Shut Down,Black
15:45:52:805,0,System Shut Down,Black
15:45:52:806,0,System Shut Down,Black
15:45:52:806,0,System Shut Down,Black
15:45:52:807,0,System Shut Down,Black
15:45:52:810,0,System Shut Down,Black
15:45:52:811,0,System Shut Down,Black
15:45:52:812,0,System Shut Down,Black
15:45:52:812,0,System Shut Down,Black
15:45:52:814,0,System Shut Down,Black
15:45:52:815,0,System Shut Down,Black
15:45:52:816,0,System Shut Down,Black
15:45:52:816,0,System Shut Down,Black
15:45:52:819,0,System Shut Down,Black
15:45:52:820,0,System Shut Down,Black
15:45:52:820,0,System Shut Down,Black
15:45:52:820,0,System Shut Down,Black
15:45:52:823,0,System Shut Down,Black
15:45:52:824,0,System Shut Down,Black
15:45:52:824,0,System Shut Down,Black
15:45:52:825,0,System Shut Down,Black
15:45:52:828,0,System Shut Down,Black
15:45:52:829,0,System Shut Down,Black
15:45:52:829,0,System Shut Down,Black
15:45:52:830,0,System Shut Down,Black
15:45:52:833,0,System Shut Down,Black
15:45:52:833,0,System Shut Down,Black
15:45:52:834,0,System Shut Down,Black
15:45:52:834,0,System Shut Down,Black
15:45:52:837,0,System Shut Down,Black
15:45:52:838,0,System Shut Down,Black
15:45:52:838,0,System Shut Down,Black
15:45:52:839,0,System Shut Down,Black
15:45:52:841,0,System Shut Down,Black
15:45:52:842,0,System Shut Down,Black
15:45:52:842,0,System Shut Down,Black
15:45:52:843,0,System Shut Down,Black
15:45:52:846,0,System Shut Down,Black
15:45:52:847,0,System Shut Down,Black
15:45:52:847,0,System Shut Down,Black
15:45:52:848,0,System Shut Down,Black
15:45:52:851,0,System Shut Down,Black
15:45:52:851,0,System Shut Down,Black
15:45:52:852,0,System Shut Down,Black
15:45:52:852,0,System Shut Down,Black
15:45:52:855,0,System Shut Down,Black
15:45:52:856,0,System Shut Down,Black
15:45:52:856,0,System Shut Down,Black
15:45:52:857,0,System Shut Down,Black
15:45:52:859,0,System Shut Down,Black
15:45:52:860,0,System Shut Down,Black
15:45:52:861,0,System Shut Down,Black
15:45:52:861,0,System Shut Down,Black
15:45:52:864,0,System Shut Down,Black
15:45:52:865,0,System Shut Down,Black
15:45:52:865,0,System Shut Down,Black
15:45:52:866,0,System Shut Down,Black
15:45:52:868,0,System Shut Down,Black
15:45:52:869,0,System Shut Down,Black
15:45:52:870,0,System Shut Down,Black
15:45:52:870,0,System Shut Down,Black
15:45:52:873,0,System Shut Down,Black
15:45:52:874,0,System Shut Down,Black
15:45:52:874,0,System Shut Down,Black
15:45:52:875,0,System Shut Down,Black
15:45:52:877,0,System Shut Down,Black
15:45:52:878,0,System Shut Down,Black
15:45:52:879,0,System Shut Down,Black
15:45:52:879,0,System Shut Down,Black
15:45:52:882,0,System Shut Down,Black
15:45:52:883,0,System Shut Down,Black
15:45:52:883,0,System Shut Down,Black
15:45:52:884,0,System Shut Down,Black
15:45:52:887,0,System Shut Down,Black
15:45:52:887,0,System Shut Down,Black
15:45:52:888,0,System Shut Down,Black
15:45:52:888,0,System Shut Down,Black
15:45:52:891,0,System Shut Down,Black
15:45:52:891,0,System Shut Down,Black
15:45:52:892,0,System Shut Down,Black
15:45:52:893,0,System Shut Down,Black
15:45:52:895,0,System Shut Down,Black
15:45:52:896,0,System Shut Down,Black
15:45:52:897,0,System Shut Down,Black
15:45:52:897,0,System Shut Down,Black
15:45:52:900,0,System Shut Down,Black
15:45:52:901,0,System Shut Down,Black
15:45:52:901,0,System Shut Down,Black
15:45:52:902,0,System Shut Down,Black
15:45:52:904,0,System Shut Down,Black
15:45:52:905,0,System Shut Down,Black
15:45:52:905,0,System Shut Down,Black
15:45:52:906,0,System Shut Down,Black
15:45:52:909,0,System Shut Down,Black
15:45:52:909,0,System Shut Down,Black
15:45:52:910,0,System Shut Down,Black
15:45:52:911,0,System Shut Down,Black
15:45:52:917,0,System Shut Down,Black
15:45:52:917,0,System Shut Down,Black
15:45:52:918,0,System Shut Down,Black
15:45:52:918,0,System Shut Down,Black
15:45:52:921,0,System Shut Down,Black
15:45:52:922,0,System Shut Down,Black
15:45:52:922,0,System Shut Down,Black
15:45:52:922,0,System Shut Down,Black
15:45:52:924,0,System Shut Down,Black
15:45:52:925,0,System Shut Down,Black
15:45:52:926,0,System Shut Down,Black
15:45:52:926,0,System Shut Down,Black
15:45:52:929,0,System Shut Down,Black
15:45:52:930,0,System Shut Down,Black
15:45:52:930,0,System Shut Down,Black
15:45:52:931,0,System Shut Down,Black
15:45:52:934,0,System Shut Down,Black
15:45:52:935,0,System Shut Down,Black
15:45:52:935,0,System Shut Down,Black
15:45:52:936,0,System Shut Down,Black
15:45:52:938,0,System Shut Down,Black
15:45:52:939,0,System Shut Down,Black
15:45:52:940,0,System Shut Down,Black
15:45:52:940,0,System Shut Down,Black
15:45:52:943,0,System Shut Down,Black
15:45:52:943,0,System Shut Down,Black
15:45:52:944,0,System Shut Down,Black
15:45:52:944,0,System Shut Down,Black
15:45:52:947,0,System Shut Down,Black
15:45:52:948,0,System Shut Down,Black
15:45:52:948,0,System Shut Down,Black
15:45:52:949,0,System Shut Down,Black
15:45:52:952,0,System Shut Down,Black
15:45:52:953,0,System Shut Down,Black
15:45:52:953,0,System Shut Down,Black
15:45:52:954,0,System Shut Down,Black
15:45:52:957,0,System Shut Down,Black
15:45:52:957,0,System Shut Down,Black
15:45:52:958,0,System Shut Down,Black
15:45:52:958,0,System Shut Down,Black
15:45:52:961,0,System Shut Down,Black
15:45:52:962,0,System Shut Down,Black
15:45:52:963,0,System Shut Down,Black
15:45:52:963,0,System Shut Down,Black
15:45:52:966,0,System Shut Down,Black
15:45:52:967,0,System Shut Down,Black
15:45:52:967,0,System Shut Down,Black
15:45:52:968,0,System Shut Down,Black
15:45:52:970,0,System Shut Down,Black
15:45:52:971,0,System Shut Down,Black
